title,category,date,longitude,latitude,year,month
Tropical Cyclone Urmil,Severe Storms,2026-02-27 18:00:00+00:00,170.0,-19.7,2026,2
Tropical Cyclone Urmil,Severe Storms,2026-02-28 00:00:00+00:00,170.7,-20.4,2026,2
Tropical Cyclone Urmil,Severe Storms,2026-02-28 06:00:00+00:00,171.7,-20.8,2026,2
Tropical Cyclone Urmil,Severe Storms,2026-02-28 12:00:00+00:00,173.2,-21.1,2026,2
Tropical Cyclone Urmil,Severe Storms,2026-02-28 18:00:00+00:00,175.1,-22.1,2026,2
Tropical Cyclone Urmil,Severe Storms,2026-03-01 00:00:00+00:00,177.5,-24.0,2026,3
Tropical Cyclone Urmil,Severe Storms,2026-03-01 06:00:00+00:00,179.2,-25.7,2026,3
"Rehder Creek Wildfire, Musselshell, Montana",Wildfires,2026-02-26 17:33:00+00:00,-108.43738,46.30904,2026,2
"RX Bomag Bell Springs Prescribed Fire, Logan, Arkansas",Wildfires,2026-02-26 10:19:00+00:00,-93.4717,35.232383,2026,2
"RX PCS Sugar Creek 3 Prescribed Fire, Scott, Arkansas",Wildfires,2026-02-26 09:37:00+00:00,-93.830645,35.007356,2026,2
"HORSE HEAD Wildfire, Okfuskee, Oklahoma",Wildfires,2026-02-26 09:34:00+00:00,-96.116667,35.308056,2026,2
"RX PCS McConnell 2 and 3 Prescribed Fire, Scott, Arkansas",Wildfires,2026-02-26 09:30:00+00:00,-94.05651,34.71777,2026,2
"RX White Oak East Prescribed Fire, Pope, Arkansas",Wildfires,2026-02-26 09:19:00+00:00,-92.875139,35.453047,2026,2
"RX CALE BU 374 Prescribed Fire, Rapides, Louisiana",Wildfires,2026-02-26 09:15:00+00:00,-92.588,31.108,2026,2
"RX Gobbler&#039;s Knob Prescribed Fire, Newton, Arkansas",Wildfires,2026-02-26 09:12:00+00:00,-93.362228,35.736428,2026,2
"RX Whiskey Springs 2 Prescribed Fire, Crawford, Arkansas",Wildfires,2026-02-26 08:52:00+00:00,-94.3199,35.7273,2026,2
"RX Hog Jaw 3 8 10 11 13 Mt Ida 3 Prescribed Fire, Montgomery, Arkansas",Wildfires,2026-02-26 08:47:00+00:00,-93.725833,34.588333,2026,2
"RX Cedar East Prescribed Fire, Johnson, Arkansas",Wildfires,2026-02-26 08:30:00+00:00,-93.325531,35.671811,2026,2
"RX FY26 BUFF Lower Wilderness BIL Prescribed Fire, Marion, Arkansas",Wildfires,2026-02-26 08:16:00+00:00,-92.468611,36.136111,2026,2
"RX Buffalo 1856/57 Prescribed Fire, McCurtain, Oklahoma",Wildfires,2026-02-26 08:09:00+00:00,-94.67,34.3986,2026,2
